"","mz","Pearson","cosine","delta_RT"
"para",327.179868690164,0.752814426237752,0.929931942766892,0.331999999999994
"para",320.230083773582,-0.468503167059016,0.728208608094659,0.942999999999984
"para",913.602539286786,-0.113343593908917,0.84956877017203,0.518000000000029
"para",412.277006584164,0.795854833880304,0.949021635486404,0.754999999999995
"para",221.800285146512,0.195133853778358,0.876427211950071,1.79300000000001
"para",255.19584705978,0.163150819865036,0.800548014450092,1.59999999999991
"para",156.912168598794,0.401904403038836,0.894232088016805,0.331999999999994
"para",467.300421034287,-0.0183250683875192,0.851305983476697,2.024
"para",297.185662820484,-0.549143563329875,0.418348490923215,0.942999999999984
"para",395.261451317239,-0.190682865270148,0.789237754695712,0.942999999999984
"para",497.293860470548,-0.256855609030145,0.61673545140776,2.024
"para",456.988816999699,0.0977413206170412,0.613291417318607,1.178
"para",512.306909586781,0.273593962621528,0.721707192873327,1.59999999999991
"para",383.279775066505,0.172332341709565,0.868165817692896,1.178
"para",876.504893847153,-0.374643205803345,0.839307592089963,1.79300000000001
"para",876.629907172386,-0.113644371143849,0.846610535875952,0.0919999999999845
"para",827.589721067623,-0.54649363478396,0.800198493756599,1.79300000000001
"para",843.061136503744,0.641568812670551,0.923222204601544,0.518000000000029
"para",716.579415232055,0.209182343028125,0.877014051997284,1.178
"para",949.140454360332,0.377950817174913,0.887400592058146,0.0919999999999845
"para",308.230642690177,0.852383212250739,0.966819518394656,0.754999999999995
"para",1054.8054528193,0.164655755022788,0.836396163486875,0.0919999999999845
